;state;population
1315;Alaska;3721
1316;Alaska;4093
1317;Alaska;5319
1318;Alaska;6693
1319;Alaska;5732
1320;Alaska;5574
1321;Alaska;6356
1322;Alaska;5860
1323;Alaska;4009
1324;Alaska;4444
1325;Alaska;2530
1326;Alaska;2783
1327;Alaska;4439
1328;Alaska;3276
1329;Alaska;3275
1330;Alaska;2228
1331;Alaska;2561
1332;Alaska;0
1333;Alaska;1684
1334;Alaska;3445
1335;Alaska;5365
1336;Alaska;1038
1337;Alaska;2135
1338;Alaska;4754
1339;Alaska;1727
1340;Alaska;3175
1341;Alaska;4537
1342;Alaska;2475
1343;Alaska;682
1344;Alaska;1224
1345;Alaska;1378
1346;Alaska;1823
1347;Alaska;1028
1348;Arizona;1552
1349;Arizona;4661
1350;Arizona;6208
1351;Arizona;5869
1352;Arizona;4831
1353;Arizona;4094
1354;Arizona;6801
1355;Arizona;3948
1356;Arizona;4899
1357;Arizona;5011
1358;Arizona;3925
1359;Arizona;2383
1360;Arizona;4954
1361;Arizona;3792
1362;Arizona;5151
